rank,frozen_genomic_order,raw_feature_name,model_feature_name,feature_type,beta,abs_beta,hazard_ratio,direction,direction_display,is_active,standard_error,beta_ci_lower_95,beta_ci_upper_95,hazard_ratio_ci_lower_95,hazard_ratio_ci_upper_95,comparison_to,z_statistic,p_value,negative_log2_p_value
1,64,prkcz_mut,prkcz_mut_present,mutation_presence,0.45635555858205129,0.45635555858205129,1.5783114271848175,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.38366629635795635,-0.29561656436141409,1.2083276815255166,0.74407267731149196,3.347881244857668,0,1.1894595978695941,0.2342588605380225,2.093824477899334
2,61,klrg1_mut,klrg1_mut_present,mutation_presence,-0.34840681747939878,0.34840681747939878,0.70581168127127891,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.62698706498096946,-1.5772788836145735,0.8804652486557758,0.20653634368041787,2.4120216352325303,0,-0.55568421892399611,0.5784267466240085,0.78979383041012008
3,60,cbfb_mut,cbfb_mut_present,mutation_presence,-0.23514630340439624,0.23514630340439624,0.79045519488256633,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.18383335450182456,-0.59545305738515664,0.1251604505763641,0.55131273297257999,1.1333302819761135,0,-1.2791275230853845,0.20085215291865216,2.3157941692848323
4,51,gata3_mut,gata3_mut_present,mutation_presence,-0.17336703420378949,0.17336703420378949,0.84082894521950158,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.12146790459802642,-0.41143975249346854,0.064705684085889531,0.66269544553997739,1.0668449887155442,0,-1.4272661965933535,0.15350318023741169,2.7036595496162419
5,66,lama2_mut,lama2_mut_present,mutation_presence,-0.13721228818437423,0.13721228818437423,0.87178513680280945,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.17205531038196925,-0.47443449988189446,0.20000992351314598,0.62223683199307589,1.2214148788266366,0,-0.79748941128151052,0.42516685005688659,1.2338989794927966
6,9,gsk3b,gsk3b,expression,0.10536603193012786,0.10536603193012786,1.1111172403194625,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.046353240483120776,0.014515350016487127,0.1962167138437686,1.014621209284156,1.2167905721251089,0,2.2731103765765028,0.023019529275972967,5.440997857527992
7,16,nr2f1,nr2f1,expression,0.055303724788904642,0.055303724788904642,1.056861560987864,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.043781725388267093,-0.030506880153121772,0.14111432973093105,0.96995375861387312,1.1515562975805236,0,1.2631691487363192,0.20652839759103789,2.2755879294798445
8,36,ctnna1,ctnna1,expression,0.054127375902999784,0.054127375902999784,1.0556190540221642,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.042463816796128644,-0.029100175663519377,0.13735492746951894,0.97131915705172212,1.1472352615766555,0,1.2746705309809665,0.20242588155145921,2.304534334505326
9,7,cdk1,cdk1,expression,0.045908106642058195,0.045908106642058195,1.046978196194116,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.055823364086786044,-0.063503676463909142,0.15531988974802552,0.93847066904077725,1.1680315426653529,0,0.82238158507765591,0.41085975661792073,1.2832820682782986
10,29,mmp9,mmp9,expression,0.042901284726590563,0.042901284726590563,1.0438348473221661,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.043551779326697092,-0.042458634216371818,0.12826120366955296,0.95843011091355068,1.1368499132873859,0,0.98506388004891965,0.32459269406939084,1.6232975668082485
11,15,bcl2,bcl2,expression,-0.034545761591502376,0.034545761591502376,0.96604413095807429,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.053579791206584348,-0.1395602226555836,0.070468699472578833,0.86974064353597036,1.0730109830953813,0,-0.64475356871598066,0.51908689557055931,0.94595202775866949
12,17,ccnd2,ccnd2,expression,-0.03149500328958247,0.03149500328958247,0.96899579823304272,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.052666286041926885,-0.13471902713124373,0.071729020552078776,0.87396143664552994,1.0743641740043062,0,-0.5980107134288859,0.54983278458928808,0.86293516265591386
13,12,map2,map2,expression,0.030335673049279203,0.030335673049279203,1.0308004878295205,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.041298734794142949,-0.050608359754312188,0.11127970585287059,0.95065091079180153,1.1177074924638475,0,0.73454243091198657,0.46261820979159085,1.1121060397671978
14,41,hla-g,hla-g,expression,-0.028963756162834971,0.028963756162834971,0.97145167296480406,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.045260021634316902,-0.11767176850559978,0.059744256179929831,0.88898779852551346,1.0615650231323532,0,-0.63994127967614955,0.52221077562588447,0.93729586745178839
15,2,aurka,aurka,expression,0.026020675157914886,0.026020675157914886,1.0263621684539888,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.058929702381713411,-0.089479419129907645,0.14152076944573741,0.91440708422405914,1.1520244309212422,0,0.44155449809278879,0.65881161675638644,0.60206210070793009
16,23,cbfb,cbfb,expression,0.014344658966634109,0.014344658966634109,1.0144480373046141,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.047127591069963427,-0.07802372220862569,0.10671304014189389,0.92494248460469819,1.1126149328420158,0,0.3043792105847018,0.76083900442866337,0.39433688699934738
17,24,klrg1,klrg1,expression,-0.012307475889221438,0.012307475889221438,0.98776795133546968,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.048250524629369893,-0.10687676639794927,0.082261814619506379,0.89863640836854275,1.0857400352349502,0,-0.25507444703989662,0.79866559982317309,0.32433651971989025
18,27,smad4,smad4,expression,0.0098670007034601399,0.0098670007034601399,1.009915840055374,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.046152924056922215,-0.080591068229319648,0.10032506963623992,0.92257088286128142,1.1055302339821509,0,0.21378928648791093,0.8307113799552357,0.26758077677708519
19,49,psenen,psenen,expression,-0.0095340445173239443,0.0095340445173239443,0.99051126039111426,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.040821779062343605,-0.089543261264368665,0.070475172229720787,0.91434870838747484,1.0730179284573631,0,-0.23355289103797791,0.81533210377022747,0.29454027251317405
20,65,ctnna1_mut,ctnna1_mut_present,mutation_presence,0.0080874823788923914,0.0080874823788923914,1.0081202744065445,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.49289645713363123,-0.95797182171041551,0.97414678646820019,0.38367024906267777,2.6489061639582565,0,0.016408075695905765,0.98690883714366096,0.019011268842939761
21,53,erbb2_mut,erbb2_mut_present,mutation_presence,0.0059704936760801176,0.0059704936760801176,1.0059883525979507,associated_with_higher_modeled_hazard,Associated with higher modeled hazard,true,0.21126402223407775,-0.40809938113178151,0.42004036848394172,0.66491279575257323,1.5220229961393736,0,0.028260816077168547,0.97745413234829626,0.032899090253798606
22,10,igf1r,igf1r,expression,-0.0037782837283164262,0.0037782837283164262,0.99622884500469799,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.047243461252625046,-0.096373766288475063,0.088817198831842206,0.90812452629407581,1.0928808581676879,0,-0.079974744189736713,0.93625734283255202,0.095022966574646206
23,19,chek2,chek2,expression,-0.0034389736795532506,0.0034389736795532506,0.99656693281772823,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.045068314457886886,-0.09177124686093735,0.08489329950183086,0.91231382032734232,1.0886009062423161,0,-0.076305797563534922,0.93917581350558066,0.090532839532304718
24,11,lamb3,lamb3,expression,-0.0033784097231731335,0.0033784097231731335,0.99662729068171441,associated_with_lower_modeled_hazard,Associated with lower modeled hazard,true,0.039579763788588206,-0.08095332126540862,0.074196501819062358,0.9222367392838744,1.077018420782992,0,-0.085356995590438814,0.9319775808856694,0.10163284422892954
