feature_name,coefficient,hazard_ratio,standard_error,coefficient_ci_lower_95,coefficient_ci_upper_95,hazard_ratio_ci_lower_95,hazard_ratio_ci_upper_95,z_statistic,p_value
age_at_diagnosis,0.0408509029299404,1.0416967800286847,0.003424820303464806,0.03413837848162784,0.047563427378252955,1.034727780880995,1.0487127161099505,11.927896739169803,8.468617354081499e-33
tumor_size,0.007466557911996186,1.0074945021613455,0.0025700190629577243,0.002429413109017668,0.012503702714974703,1.002432366524249,1.0125822008369711,2.9052539024373014,0.003669552926184106
lymph_nodes_examined_positive,0.046323169823844344,1.047412848493332,0.007034854019808358,0.03253510930852314,0.06011123033916555,1.033070162886341,1.0619546615534348,6.584808965958652,4.554706343278371e-11
tumor_stage_2,0.31018744041761565,1.3636806990576826,0.10443971668932274,0.10548935715097627,0.514885523684255,1.1112542775484129,1.6734469207939078,2.97001418857092,0.0029778599484326877
tumor_stage_3,0.4446119592908074,1.5598847795810602,0.1888815883038728,0.07441084887249477,0.81481306970912,1.0772493012513695,2.258753403452774,2.353918999111313,0.018576658612699307
tumor_stage_4,0.5078711143521248,1.6617497514231079,0.4341633372092219,-0.34307338998566883,1.3588156186899185,0.7095861331330731,3.8915814548998466,1.169769694550195,0.24209366248007808
tumor_stage_Unknown,0.34556719797379826,1.4127910246602051,0.11596017176948982,0.11828943766451991,0.5728449582830766,1.12556984653269,1.7733048602083916,2.980050759675747,0.00288200622656662
er_status_measured_by_ihc_Positive,-0.15601026662474793,0.8555504067109506,0.10675661150743213,-0.3652493802908492,0.05322884704135333,0.6940235534997107,1.0546709758368138,-1.4613639794467146,0.14391558038637767
pr_status_Positive,-0.21653454623680807,0.8053047141947645,0.08362799961592346,-0.3804424135831475,-0.052626678890468626,0.6835589265520824,0.9487341288562615,-2.5892589471382994,0.009618273675774646
her2_status_Positive,0.3140327234305821,1.3689345320485713,0.11415394983202816,0.09029509306681474,0.5377703537943495,1.0944972145952088,1.712185036238871,2.750958016719225,0.005942125834396874
tumor_size_was_missing,-0.4407092866199031,0.6435797766319807,0.3678369358016517,-1.1616564329747125,0.2802378597349063,0.3129673418651344,1.3234445690763392,-1.1981104770227486,0.23087401062295307
er_status_measured_by_ihc_was_missing,-0.05940160745498959,0.9423282471044638,0.323174607779829,-0.6928121994213123,0.5740089845113332,0.50016751862554,1.775370235418619,-0.1838065430420773,0.8541652229901259
