gene,raw_column,train_mutated_count,train_non_mutated_count,train_prevalence,distinct_nonzero_annotations,missing_count,retain_ge_1pct,retain_ge_2pct,retain_ge_5pct,retain_ge_10pct
pik3ca,pik3ca_mut,572,760,0.4294294294294294,122,0,True,True,True,True
tp53,tp53_mut,460,872,0.34534534534534533,270,0,True,True,True,True
muc16,muc16_mut,250,1082,0.18768768768768768,236,0,True,True,True,True
ahnak2,ahnak2_mut,222,1110,0.16666666666666666,181,0,True,True,True,True
kmt2c,kmt2c_mut,156,1176,0.11711711711711711,148,0,True,True,True,True
syne1,syne1_mut,168,1164,0.12612612612612611,149,0,True,True,True,True
gata3,gata3_mut,158,1174,0.11861861861861862,93,0,True,True,True,True
map3k1,map3k1_mut,134,1198,0.1006006006006006,131,0,True,True,True,True
ahnak,ahnak_mut,131,1201,0.09834834834834835,114,0,True,True,True,False
dnah11,dnah11_mut,127,1205,0.09534534534534535,112,0,True,True,True,False
cdh1,cdh1_mut,114,1218,0.08558558558558559,100,0,True,True,True,False
dnah2,dnah2_mut,114,1218,0.08558558558558559,99,0,True,True,True,False
kmt2d,kmt2d_mut,97,1235,0.07282282282282282,90,0,True,True,True,False
ush2a,ush2a_mut,96,1236,0.07207207207207207,92,0,True,True,True,False
ryr2,ryr2_mut,97,1235,0.07282282282282282,95,0,True,True,True,False
dnah5,dnah5_mut,91,1241,0.06831831831831832,87,0,True,True,True,False
herc2,herc2_mut,95,1237,0.07132132132132132,87,0,True,True,True,False
pde4dip,pde4dip_mut,76,1256,0.057057057057057055,67,0,True,True,True,False
akap9,akap9_mut,94,1238,0.07057057057057058,91,0,True,True,True,False
tg,tg_mut,83,1249,0.06231231231231231,79,0,True,True,True,False
birc6,birc6_mut,72,1260,0.05405405405405406,68,0,True,True,True,False
utrn,utrn_mut,82,1250,0.06156156156156156,75,0,True,True,True,False
tbx3,tbx3_mut,64,1268,0.04804804804804805,62,0,True,True,False,False
col6a3,col6a3_mut,69,1263,0.0518018018018018,62,0,True,True,True,False
arid1a,arid1a_mut,69,1263,0.0518018018018018,66,0,True,True,True,False
lama2,lama2_mut,60,1272,0.04504504504504504,54,0,True,True,False,False
notch1,notch1_mut,69,1263,0.0518018018018018,59,0,True,True,True,False
cbfb,cbfb_mut,67,1265,0.0503003003003003,50,0,True,True,True,False
ncor2,ncor2_mut,68,1264,0.05105105105105105,65,0,True,True,True,False
col12a1,col12a1_mut,50,1282,0.03753753753753754,47,0,True,True,False,False
col22a1,col22a1_mut,55,1277,0.04129129129129129,48,0,True,True,False,False
pten,pten_mut,61,1271,0.0457957957957958,56,0,True,True,False,False
akt1,akt1_mut,51,1281,0.038288288288288286,10,0,True,True,False,False
atr,atr_mut,59,1273,0.044294294294294295,56,0,True,True,False,False
